,CS Schools,City,School,Class,Gender,Grade,Math_selfefficacy,Tablets_utility,CS_utility,Tablets_selfefficacy,Robots_interest,Tablets_interest,CS_selfefficacy,General_selfefficacy,Robots_utility,Robots_selfefficacy,CS_interest,Sport_selfefficacy,French_selfefficacy,Who_Teacher,Who_Mom,Who_Dad,Who_Student,Who_Other,Who_Nobody,General_selfefficacy,French_selfefficacy,Sport_selfefficacy,Math_selfefficacy
88,0,0,School_2,Class_6,Girl,6,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0,1,1,1,0,0,1.0,2.0,2.0,0.0
89,0,0,School_2,Class_6,Boy,6,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0,0,0,1,0,0,2.0,1.0,2.0,2.0
90,0,0,School_2,Class_6,Boy,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,0,1,0,1,0,2.0,2.0,2.0,2.0
91,0,0,School_2,Class_6,Boy,6,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0,1,1,1,1,0,2.0,2.0,2.0,2.0
92,0,0,School_2,Class_6,Boy,6,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0,0,1,1,0,0,2.0,2.0,1.0,2.0
93,0,0,School_2,Class_6,Girl,6,2.0,2.0,-2.0,-1.0,-2.0,2.0,-2.0,1.0,2.0,-2.0,-2.0,1.0,-2.0,0,0,1,0,0,0,1.0,-2.0,1.0,2.0
94,0,0,School_2,Class_6,Boy,6,2.0,0.0,0.0,2.0,-1.0,2.0,2.0,0.0,1.0,-2.0,2.0,2.0,1.0,1,1,1,1,0,0,0.0,1.0,2.0,2.0
95,0,0,School_2,Class_6,Boy,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1,0,1,0,0,0,2.0,1.0,2.0,2.0
96,0,0,School_2,Class_7,Boy,6,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0,0,1,1,0,0,1.0,2.0,2.0,2.0
97,0,0,School_2,Class_7,Boy,6,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,1,1,1,0,0,2.0,1.0,2.0,2.0
98,0,0,School_2,Class_7,Boy,6,2.0,2.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,1.0,2.0,1.0,0,1,0,0,1,0,2.0,1.0,2.0,2.0
99,0,0,School_2,Class_7,Girl,6,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1,1,1,1,1,0,1.0,0.0,2.0,2.0
100,0,0,School_2,Class_7,Girl,6,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1,1,1,0,1,0,1.0,2.0,1.0,0.0
101,0,0,School_2,Class_7,Boy,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0,1,1,1,0,0,1.0,1.0,2.0,2.0
102,0,0,School_2,Class_7,Boy,6,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,0,1,1,0,0,1.0,2.0,2.0,1.0
103,0,0,School_2,Class_7,Girl,6,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0,1,1,1,0,0,1.0,1.0,2.0,2.0
104,0,0,School_2,Class_7,Boy,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1,1,1,0,1,0,2.0,2.0,1.0,2.0
105,0,0,School_2,Class_7,Girl,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,0,0,2.0,2.0,2.0,2.0
106,0,0,School_2,Class_7,Girl,6,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1,0,1,0,0,0,2.0,2.0,2.0,2.0
107,0,0,School_2,Class_7,Girl,6,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,-2.0,1.0,1.0,-1.0,1,1,1,0,0,0,2.0,-1.0,1.0,1.0
108,0,0,School_2,Class_7,Boy,6,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0,0,0,0,0,1,2.0,0.0,2.0,1.0
109,0,0,School_2,Class_7,Boy,6,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0,0,1,0,0,0,2.0,1.0,2.0,2.0
110,0,0,School_2,Class_7,Girl,6,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1,0,0,0,0,0,2.0,1.0,2.0,0.0
111,0,0,School_2,Class_7,Boy,6,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1,1,1,1,1,0,1.0,0.0,2.0,2.0
112,0,0,School_2,Class_8,Boy,3,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,1.0,-2.0,2.0,2.0,2.0,2.0,1,1,1,0,1,0,1.0,2.0,2.0,2.0
113,0,0,School_2,Class_8,Boy,3,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,0.0,0,0,1,0,0,0,2.0,0.0,2.0,2.0
