School Name,BRIN
Basisschool de Ravelinde,13WC
Basisschool De Reflector,00FG
Basisschool de Regenboog,13NH
Basisschool De Regenboog,11QD
Basisschool De Regenboog,08MU
Basisschool De Regenboog,12PC
Basisschool De Regenboog,09JP
Basisschool De Regenboog,22LI
Basisschool De Regenboog,05YQ
Basisschool De Regenboog,07PF
Basisschool De Regenboog,08ZO
Basisschool de Regenboog,13IQ
Basisschool De Regenboog,04OT
Basisschool De Regenboog,07ST
Basisschool de Regenboog,12YU
Basisschool De Reigersberg,11OE
Basisschool de Reijer,14MU
Basisschool De Reinboge,08CC
Basisschool De Ridderslag,06OU
Basisschool De Rietkraag,18LU
Basisschool de Rietschoof,13RF
Basisschool De Rietvest,06LZ
Basisschool De Rots,03SK
Basisschool De Rozebottel,18KU
basisschool de Ruimte,09NJ
Basisschool De Ruyter,03VT
Basisschool De Rythmeen,10LK
Basisschool De Schakel,05QV
Basisschool De Schakel,05HV
Basisschool de Schakel,14ZL
Basisschool De Schakel - school met de Bijbel,06HJ
Basisschool De Schare,07CW
Basisschool De Schatkist,18FA
Basisschool De Scheepswerf,11QQ
Basisschool De Schelp,06LF
Basisschool De Schittering,03QT
Basisschool De Schrank,08YR
Basisschool De Sieppe,06BC
Basisschool de Singel,07OA
Basisschool de Singel,13LM
Basisschool de Skans,13EI
Basisschool De Sleye,03QZ
Basisschool de Sluis,11KQ
Basisschool De Sonnewijzer,06JL
Basisschool de Speelwagen,05ZI
Basisschool De Spil,08AE
Basisschool De Spindel,06IK
Basisschool de Spoorzoeker,06WL
Basisschool De Sporckt,23ZL
Basisschool De Sprankel,07UN
Basisschool De Spreng,09YN
Basisschool De Spreng,12TO
Basisschool De Springbeek,07BU
Basisschool De Springplank,04ZW
Basisschool De Springplank,18EJ
Basisschool De Springplank - school met de Bijbel,14ZB
Basisschool De Springschans,18SE
Basisschool De Sprong,04GK
Basisschool De Sprongh,12JS
Basisschool De Stappen,08NZ
Basisschool De Stapsteen,10GZ
Basisschool De Statie,18FH
Basisschool De Steenen Brug,03LE
Basisschool De Steiger,12YE
Basisschool De Stek,16BU
Basisschool de Ster,06VU
Basisschool De Sterjasmijn,15CR
Basisschool de Sterredans,12SK
Basisschool De Stokland,09LZ
Basisschool de Striepe,13UW
Basisschool De Stroeten,06RG
Basisschool De Stuifhoek,04UF
Basisschool de Takkenbosse,13AS
Basisschool De Talententoren,06WO
Basisschool De Talenter,10HT
Basisschool de Tamboerijn,12ZT
Basisschool De Tarissing Christelijk Basisonderwijs,04IT
Basisschool De Tempel,17QK
Basisschool de Terp,11JK
Basisschool De Teugelaar,09PE
Basisschool De Toermalijn,17XX
Basisschool De Toermalijn,12BP
Basisschool De Torelaar,06IR
Basisschool De Toren,08MJ
Basisschool De Torenberg,10IW
Basisschool De Torenuil,25KL
Basisschool De Toverlaars,18GZ
Basisschool de Triangel,25GJ
Basisschool De Triangel,19KD
Basisschool de Triangel,12SP
Basisschool De Triangel,14DK
Basisschool De Triangel,17LF
Basisschool De Triangel,10GD
Basisschool de Troubadour,19MF
Basisschool De Tweeklank,12KM
Basisschool De Tweemaster,08TK
Basisschool De Tweemaster,18LQ
Basisschool De Tweestroom,04VI
Basisschool De Twister,03UZ
Basisschool De Uilenburcht,10MV
Basisschool de Uilenpoort,06HO
Basisschool De Uitdaging,31DP
Basisschool de Uylenborch,07JC
Basisschool De Vaart,07TH
Basisschool De Veerkracht,13UI
Basisschool de Velden,13HA
Basisschool De Veldhof,07UH
Basisschool de Verbinding,31JE
Basisschool De Verbinding - school met de Bijbel,04WW
Basisschool De Verrekijker,04FE
Basisschool De Verrekijker,15ZK
basisschool De Verwondering,30XD
Basisschool De Veste,05EN
Basisschool De Vijf Eiken,04RS
Basisschool De Vijf Hoeven,09MT
